feature,source,available_at_prediction,leakage_risk,in_dataset,distinct_values,used_by_rf_winner,used_by_ridge_finalist,basis
product_id,marketplace identifier,no,forbidden,True,2619,False,False,AGENTS.md Forbidden Features: product_id; used only as a split grouping key (docs/evaluation/01_PROTOCOL_DECISION.md)
part_name,marketplace listing,yes,none,True,486,True,True,part taxonomy shown on the listing; no separate leakage record
price,marketplace listing,no,forbidden,True,1135,False,False,AGENTS.md Forbidden Features: target price
quality_grade,marketplace listing,yes,none,True,10,True,True,AGENTS.md Safe Features
oem_number,marketplace listing,yes,medium,True,54,False,False,AGENTS.md Leakage-Sensitive Features (OEM numbers); docs/DESIGN_DECISIONS.md 2026-06-26: OEM values are noisy and reused; the frozen winner is the *_without_oem_number variant
mileage,marketplace listing,yes,none,True,355,True,True,AGENTS.md Safe Features
brand,marketplace listing,yes,none,True,3,True,True,AGENTS.md Safe Features
model,marketplace listing,yes,none,True,3,True,True,AGENTS.md Safe Features
category,marketplace listing,yes,none,True,7,True,True,AGENTS.md Safe Features
subcategory,marketplace listing,yes,none,True,137,True,True,AGENTS.md Safe Features
scrape_date,scrape timing,no,medium,True,6,False,False,"AGENTS.md Leakage-Sensitive Features (first_seen_date, last_seen_date, scrape timing); excluded by RECOMMENDED_EXCLUDED_FEATURES / RANDOM_FOREST_LEAKAGE_ONLY and the *_without_listing_dates / *_without_date_offsets variants"
year_start,marketplace listing,yes,none,True,16,True,True,AGENTS.md Safe Features
year_end,marketplace listing,yes,none,True,15,True,True,AGENTS.md Safe Features
year_span,marketplace listing,yes,none,True,6,True,True,AGENTS.md Safe Features
year_mid,marketplace listing,yes,none,True,18,True,True,AGENTS.md Safe Features
brand_merge_key,pipeline key or flag,yes,none,True,3,False,False,"src/tree_modeling.py RECOMMENDED_EXCLUDED_FEATURES: identifier, redundant key or unsuitable metadata"
model_merge_key,pipeline key or flag,yes,none,True,3,False,False,"src/tree_modeling.py RECOMMENDED_EXCLUDED_FEATURES: identifier, redundant key or unsuitable metadata"
repair_status,registry join flag,yes,none,True,1,True,True,"set by the registry join (notebooks/02_integration/03_final_dataset_merging.ipynb); one value on every row, so it carries no information"
brand_is_known_model_family,derived listing flag,yes,none,True,2,False,True,no recorded decision
model_looks_like_part_taxonomy,pipeline key or flag,yes,none,True,1,False,False,"src/tree_modeling.py RECOMMENDED_EXCLUDED_FEATURES: identifier, redundant key or unsuitable metadata"
model_family_clean,pipeline key or flag,yes,none,True,3,False,False,"src/tree_modeling.py RECOMMENDED_EXCLUDED_FEATURES: identifier, redundant key or unsuitable metadata"
model_total_registered,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_median_vehicle_age,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_mean_vehicle_age,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_median_mileage,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_mean_mileage,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_median_engine_cc,Traficom registry aggregate,yes,none,True,2,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_median_power_kw,Traficom registry aggregate,yes,none,True,2,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_median_mass_kg,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_share_of_market,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_share_within_brand,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_share_over_10y,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_share_over_200k_km,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_automatic_share,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_petrol_share,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_diesel_share,Traficom registry aggregate,yes,none,True,3,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
model_ev_share,Traficom registry aggregate,yes,none,True,2,True,True,"AGENTS.md Context Features; aggregated from the national registry, independent of listing prices. Constant within each vehicle model, so they carry no information beyond `model` (artifacts/registry_ablation/)"
